commune,Wilaya_name,Wilaya
Mezerana,Médéa,
Mihoub,Médéa,
Moudjbar,Médéa,
Ouamri,Médéa,
Oued Harbil,Médéa,
Ouled Antar,Médéa,
Ouled Bouachra,Médéa,
Ouled Brahim,Médéa,
Ouled Deide,Médéa,
Ouled Hellal,Médéa,
Ouled Maaref,Médéa,
Oum El Djalil,Médéa,
Ouzera,Médéa,
Rebaia,Médéa,
Saneg,Médéa,
Sedraia,Médéa,
Seghouane,Médéa,
Si Mahdjoub,Médéa,
Sidi Damed,Médéa,
Sidi Errabia,Médéa,
Sidi Naamanez,Médéa,
Sidi Zahar,Médéa,
Sidi Ziane,Médéa,
Souagui,Médéa,
Tablat,Médéa,
Tafraout,Médéa,
Tamesguida,Médéa,
Tizi Mahdi,Médéa,
Tlatet Eddouar,Médéa,
Zoubiria,Médéa,
Abdelmalek Ramdane,Mostaganem,
Achaacha,Mostaganem,
Aïn Boudinar,Mostaganem,
Aïn Nouissy,Mostaganem,
Aïn Sidi Cherif,Mostaganem,
Aïn Tedles,Mostaganem,
Blad Touahria,Mostaganem,
Bouguirat,Mostaganem,
El Hassaine,Mostaganem,
Fornaka,Mostaganem,
Hadjadj,Mostaganem,
Hassi Mameche,Mostaganem,
Khadra,Mostaganem,
Kheireddine,Mostaganem,
Mansourah,Mostaganem,
Mazagran,Mostaganem,
Mesra,Mostaganem,
Mostaganem,Mostaganem,
Nekmaria,Mostaganem,
Oued El Kheir,Mostaganem,
Ouled Boughalem,Mostaganem,
Ouled Maallah,Mostaganem,
Safsaf,Mostaganem,
Sayada,Mostaganem,
Sidi Ali,Mostaganem,
Sidi Belattar,Mostaganem,
Sidi Lakhdar,Mostaganem,
Sirat,Mostaganem,
Souaflia,Mostaganem,
Sour,Mostaganem,
Stidia,Mostaganem,
Tazgait,Mostaganem,
Aïn El Hadjel,M'Sila,
Aïn El Melh,M'Sila,
Aïn Errich,M'Sila,
Aïn Fares,M'Sila,
Aïn Khadra,M'Sila,
Belaiba,M'Sila,
Ben Srour,M'Sila,
Beni Ilmane,M'Sila,
Benzouh,M'Sila,
Berhoum,M'Sila,
Bir Foda,M'Sila,
Bou Saâda,M'Sila,
Bouti Sayah,M'Sila,
Chellal,M'Sila,
Dehahna,M'Sila,
Djebel Messaad,M'Sila,
El Hamel,M'Sila,
El Houamed,M'Sila,
Hammam Dhalaa,M'Sila,
Khettouti Sed El Djir,M'Sila,
Khoubana,M'Sila,
M'Cif,M'Sila,
M'Sila,M'Sila,
M'Tarfa,M'Sila,
Maadid,M'Sila,
Maarif,M'Sila,
Magra,M'Sila,
Medjedel,M'Sila,
Mohammed Boudiaf,M'Sila,
Ouanougha,M'Sila,
Ouled Addi Guebala,M'Sila,
Ouled Atia,M'Sila,
Ouled Derradj,M'Sila,
Ouled Madhi,M'Sila,
Ouled Mansour,M'Sila,
Ouled Sidi Brahim,M'Sila,
Ouled Slimane,M'Sila,
Oultem,M'Sila,
Sidi Aïssa,M'Sila,
Sidi Ameur,M'Sila,
Sidi Hadjeres,M'Sila,
Sidi M'Hamed,M'Sila,
Slim,M'Sila,
Souamaa,M'Sila,
Tamsa,M'Sila,
Tarmount,M'Sila,
Zarzour,M'Sila,
Aïn Fares,Mascara,
Aïn Fekan,Mascara,
Aïn Ferah,Mascara,
Aïn Fras,Mascara,
Alaïmia,Mascara,
Aouf,Mascara,
Beniane,Mascara,
Bou Hanifia,Mascara,
Bou Henni,Mascara,
Chorfa,Mascara,
El Bordj,Mascara,
El Gaada,Mascara,
El Ghomri,Mascara,
El Guettana,Mascara,
El Keurt,Mascara,
El Menaouer,Mascara,
Ferraguig,Mascara,
Froha,Mascara,
Gharrous,Mascara,
Ghriss,Mascara,
Guerdjoum,Mascara,
Hachem,Mascara,
Hacine,Mascara,
Khalouia,Mascara,
Makdha,Mascara,
Mamounia,Mascara,
Maoussa,Mascara,
Mascara,Mascara,
Matemore,Mascara,
Mocta Douz,Mascara,
Mohammadia,Mascara,
Nesmoth,Mascara,
Oggaz,Mascara,
Oued El Abtal,Mascara,
Oued Taria,Mascara,
Ras El Aïn Amirouche,Mascara,
Sedjerara,Mascara,
Sehailia,Mascara,
Sidi Abdeldjebar,Mascara,
Sidi Abdelmoumen,Mascara,
Sidi Boussaid,Mascara,
Sidi Kada,Mascara,
Sig,Mascara,
Tighennif,Mascara,
Tizi,Mascara,
Zahana,Mascara,
Zelmata,Mascara,
Aïn Beida,Ouargla,
Benaceur,Ouargla,
Blidet Amor,Ouargla,
El Allia,Ouargla,
El Borma,Ouargla,
El Hadjira,Ouargla,
Hassi Ben Abdellah,Ouargla,
Hassi Messaoud,Ouargla,
M'Naguer,Ouargla,
Megarine,Ouargla,
N'Goussa,Ouargla,
Nezla,Ouargla,
Ouargla,Ouargla,
Rouissat,Ouargla,
Sidi Khouiled,Ouargla,
Sidi Slimane,Ouargla,
Taibet,Ouargla,
Tamacine,Ouargla,
Tebesbest,Ouargla,
Touggourt,Ouargla,
Zaouia El Abidia,Ouargla,
Aïn El Bia,Oran,
Aïn El Kerma,Oran,
Aïn El Turk,Oran,
Arzew,Oran,
Ben Freha,Oran,
Bethioua,Oran,
Bir El Djir,Oran,
Bou Sfer,Oran,
Boufatis,Oran,
Boutlelis,Oran,
El Ançor,Oran,
El Braya,Oran,
El Kerma,Oran,
Es Senia,Oran,
Gdyel,Oran,
Hassi Ben Okba,Oran,
Hassi Bounif,Oran,
Hassi Mefsoukh,Oran,
Marsat El Hadjadj,Oran,
Mers El Kébir,Oran,
Misserghin,Oran,
Oran,Oran,
Oued Tlelat,Oran,
Sidi Benyebka,Oran,
Sidi Chami,Oran,
Tafraoui,Oran,
Aïn El Orak,El Bayadh,
Arbaouat,El Bayadh,
Boualem,El Bayadh,
Bougtoub,El Bayadh,
Boussemghoun,El Bayadh,
Brezina,El Bayadh,
Cheguig,El Bayadh,
Chellala,El Bayadh,
El Abiodh Sidi Cheikh,El Bayadh,
El Bayadh,El Bayadh,
El Bnoud,El Bayadh,
El Kheiter,El Bayadh,
El Mehara,El Bayadh,
Ghassoul,El Bayadh,
Kef El Ahmar,El Bayadh,
Kraakda,El Bayadh,
Rogassa,El Bayadh,
Sidi Ameur,El Bayadh,
Sidi Slimane,El Bayadh,
Sidi Tifour,El Bayadh,
Stitten,El Bayadh,
Tousmouline,El Bayadh,
Bordj El Haouas,Illizi,
Bordj Omar Driss,Illizi,
Debdeb,Illizi,
Djanet,Illizi,
Illizi,Illizi,
In Amenas,Illizi,
Aïn Taghrout,Bordj Bou Arreridj,
Aïn Tesra,Bordj Bou Arreridj,
Belimour,Bordj Bou Arreridj,
Ben Daoud,Bordj Bou Arreridj,
Bir Kasdali,Bordj Bou Arreridj,
Bordj Bou Arreridj,Bordj Bou Arreridj,
Bordj Ghédir,Bordj Bou Arreridj,
Bordj Zemoura,Bordj Bou Arreridj,
Colla,Bordj Bou Arreridj,
Djaafra,Bordj Bou Arreridj,
El Ach,Bordj Bou Arreridj,
El Achir,Bordj Bou Arreridj,
El Anseur,Bordj Bou Arreridj,
El Hamadia,Bordj Bou Arreridj,
El M'hir,Bordj Bou Arreridj,
El Main,Bordj Bou Arreridj,
Ghilassa,Bordj Bou Arreridj,
Haraza,Bordj Bou Arreridj,
Hasnaoua,Bordj Bou Arreridj,
Khelil,Bordj Bou Arreridj,
Ksour,Bordj Bou Arreridj,
Mansoura,Bordj Bou Arreridj,
Medjana,Bordj Bou Arreridj,
Ouled Brahem,Bordj Bou Arreridj,
Ouled Dahmane,Bordj Bou Arreridj,
Ouled Sidi Brahim,Bordj Bou Arreridj,
Rabta,Bordj Bou Arreridj,
Ras El Oued,Bordj Bou Arreridj,
Sidi Embarek,Bordj Bou Arreridj,
Taglait,Bordj Bou Arreridj,
Tassameurt,Bordj Bou Arreridj,
Tefreg,Bordj Bou Arreridj,
Teniet En Nasr,Bordj Bou Arreridj,
Tixter,Bordj Bou Arreridj,
Afir,Boumerdès,
Ammal,Boumerdès,
Baghlia,Boumerdès,
Ben Choud,Boumerdès,
Beni Amrane,Boumerdès,
Bordj Menaiel,Boumerdès,
Boudouaou,Boumerdès,
Boudouaou El Bahri,Boumerdès,
Boumerdes,Boumerdès,
Bouzegza Keddara,Boumerdès,
Chabet el Ameur,Boumerdès,
Corso,Boumerdès,
Dellys,Boumerdès,
Djinet,Boumerdès,
El Kharrouba,Boumerdès,
Hammedi,Boumerdès,
Issers,Boumerdès,
Khemis El Khechna,Boumerdès,
Larbatache,Boumerdès,
Leghata,Boumerdès,
Naciria,Boumerdès,
Ouled Aissa,Boumerdès,
Ouled Hedadj,Boumerdès,
Ouled Moussa,Boumerdès,
Si Mustapha,Boumerdès,
Sidi Daoud,Boumerdès,
Souk El Had,Boumerdès,
Taourga,Boumerdès,
Thenia,Boumerdès,
Tidjelabine,Boumerdès,
Timezrit,Boumerdès,
Zemmouri,Boumerdès,
Aïn El Assel,El Tarf,
Aïn Kerma,El Tarf,
Asfour,El Tarf,
Ben Mehidi,El Tarf,
Berrihane,El Tarf,
Besbes,El Tarf,
Bougous,El Tarf,
Bouhadjar,El Tarf,
Bouteldja,El Tarf,
Chebaita Mokhtar,El Tarf,
Chefia,El Tarf,
Chihani,El Tarf,
Dréan,El Tarf,
Echatt,El Tarf,
El Aioun,El Tarf,
El Kala,El Tarf,
El Tarf,El Tarf,
Hammam Beni Salah,El Tarf,
Lac des Oiseaux,El Tarf,
Oued Zitoun,El Tarf,
Raml Souk,El Tarf,
Souarekh,El Tarf,
Zerizer,El Tarf,
Zitouna,El Tarf,
Oum el Assel,Tindouf,
Tindouf,Tindouf,
Ammari,Tissemsilt,
Beni Chaib,Tissemsilt,
Beni Lahcene,Tissemsilt,
Bordj Bou Naama,Tissemsilt,
Bordj El Emir Abdelkader,Tissemsilt,
Boucaid,Tissemsilt,
Khemisti,Tissemsilt,
Larbaa,Tissemsilt,
Lardjem,Tissemsilt,
Layoune,Tissemsilt,
Lazharia,Tissemsilt,
Maacem,Tissemsilt,
Melaab,Tissemsilt,
Ouled Bessem,Tissemsilt,
Sidi Abed,Tissemsilt,
Sidi Boutouchent,Tissemsilt,
Sidi Lantri,Tissemsilt,
Sidi Slimane,Tissemsilt,
Tamalaht,Tissemsilt,
Theniet El Had,Tissemsilt,
Tissemsilt,Tissemsilt,
Youssoufia,Tissemsilt,
Bayadha,El Oued,
Beni Guecha,El Oued,
Debila,El Oued,
Djamaa,El Oued,
Douar El Ma,El Oued,
El M'Ghair,El Oued,
El Ogla,El Oued,
El Oued,El Oued,
Guemar,El Oued,
Hamraia,El Oued,
Hassani Abdelkrim,El Oued,
Hassi Khalifa,El Oued,
Kouinine,El Oued,
M'Rara,El Oued,
Magrane,El Oued,
Mih Ouansa,El Oued,
Nakhla,El Oued,
Oued El Alenda,El Oued,
Oum Touyour,El Oued,
Ourmas,El Oued,
Reguiba,El Oued,
Robbah,El Oued,
Sidi Amrane,El Oued,
Sidi Aoun,El Oued,
Sidi Khellil,El Oued,
Still,El Oued,
Taghzout,El Oued,
Taleb Larbi,El Oued,
Tendla,El Oued,
Trifaoui,El Oued,
Aïn Touila,Khenchela,
Babar,Khenchela,
Baghai,Khenchela,
Bouhmama,Khenchela,
Chechar,Khenchela,
Chelia,Khenchela,
Djellal,Khenchela,
El Hamma,Khenchela,
El Mahmal,Khenchela,
El Oueldja,Khenchela,
Ensigha,Khenchela,
Kais,Khenchela,
Khenchela,Khenchela,
Khirane,Khenchela,
M'Sara,Khenchela,
M'Toussa,Khenchela,
Ouled Rechache,Khenchela,
Remila,Khenchela,
Tamza,Khenchela,
Taouzient,Khenchela,
Yabous,Khenchela,
Aïn Soltane,Souk Ahras,
Aïn Zana,Souk Ahras,
Bir Bou Haouch,Souk Ahras,
Drea,Souk Ahras,
Hanancha,Souk Ahras,
Heddada,Souk Ahras,
Khedara,Souk Ahras,
Khemissa,Souk Ahras,
M'daourouch,Souk Ahras,
Mechroha,Souk Ahras,
Merahna,Souk Ahras,
Oued Keberit,Souk Ahras,
Ouillen,Souk Ahras,
Ouled Driss,Souk Ahras,
Ouled Moumene,Souk Ahras,
Oum El Adhaim,Souk Ahras,
Ragouba,Souk Ahras,
Safel El Ouiden,Souk Ahras,
Sedrata,Souk Ahras,
Sidi Fredj,Souk Ahras,
Souk Ahras,Souk Ahras,
Taoura,Souk Ahras,
Terraguelt,Souk Ahras,
Tiffech,Souk Ahras,
Zaarouria,Souk Ahras,
Zouabi,Souk Ahras,
Aghbal,Tipaza,
Ahmar El Aïn,Tipaza,
Aïn Tagourait,Tipaza,
Attatba,Tipaza,
Beni Milleuk,Tipaza,
Bou Ismaïl,Tipaza,
Bouharoun,Tipaza,
Bourkika,Tipaza,
Chaiba,Tipaza,
Cherchell,Tipaza,
Damous,Tipaza,
Douaouda,Tipaza,
Fouka,Tipaza,
Gouraya,Tipaza,
Hadjeret Ennous,Tipaza,
Hadjout,Tipaza,
Khemisti,Tipaza,
Koléa,Tipaza,
Larhat,Tipaza,
Menaceur,Tipaza,
Merad,Tipaza,
Messelmoun,Tipaza,
Nador,Tipaza,
Sidi Amar,Tipaza,
Sidi Ghiles,Tipaza,
Sidi Rached,Tipaza,
Sidi Semiane,Tipaza,
Tipaza,Tipaza,
Ahmed Rachedi,Mila,
Aïn Beida Harriche,Mila,
Aïn Mellouk,Mila,
Aïn Tine,Mila,
Amira Arrès,Mila,
Benyahia Abderrahmane,Mila,
Bouhatem,Mila,
Chelghoum Laid,Mila,
Chigara,Mila,
Derradji Bousselah,Mila,
El Mechira,Mila,
Elayadi Barbes,Mila,
Ferdjioua,Mila,
Grarem Gouga,Mila,
Hamala,Mila,
Mila,Mila,
Minar Zarza,Mila,
Oued Athmania,Mila,
Oued Endja,Mila,
Oued Seguen,Mila,
Ouled Khalouf,Mila,
Rouached,Mila,
Sidi Khelifa,Mila,
Sidi Merouane,Mila,
Tadjenanet,Mila,
Tassadane Haddada,Mila,
Teleghma,Mila,
Terrai Bainen,Mila,
Tessala Lemtaï,Mila,
Tiberguent,Mila,
Yahia Beni Guecha,Mila,
Zeghaia,Mila,
Aïn Benian,Aïn Defla,
Aïn Bouyahia,Aïn Defla,
Aïn Defla,Aïn Defla,
Aïn Lechiekh,Aïn Defla,
Aïn Soltane,Aïn Defla,
Aïn Torki,Aïn Defla,
Arib,Aïn Defla,
Bathia,Aïn Defla,
Belaas,Aïn Defla,
Ben Allal,Aïn Defla,
Bir Ould Khelifa,Aïn Defla,
Birbouche,Aïn Defla,
Bordj Emir Khaled,Aïn Defla,
Boumedfaa,Aïn Defla,
Bourached,Aïn Defla,
Djelida,Aïn Defla,
Djemaa Ouled Cheikh,Aïn Defla,
Djendel,Aïn Defla,
El Abadia,Aïn Defla,
El Amra,Aïn Defla,
El Attaf,Aïn Defla,
El Hassania,Aïn Defla,
El Maine,Aïn Defla,
Hammam Righa,Aïn Defla,
Hoceinia,Aïn Defla,
Khemis Miliana,Aïn Defla,
Mekhatria,Aïn Defla,
Miliana,Aïn Defla,
Oued Chorfa,Aïn Defla,
Oued Djemaa,Aïn Defla,
Rouina,Aïn Defla,
Sidi Lakhdar,Aïn Defla,
Tacheta Zougagha,Aïn Defla,
Tarik Ibn Ziad,Aïn Defla,
Tiberkanine,Aïn Defla,
Zeddine,Aïn Defla,
Aïn Ben Khelil,Naâma,
Aïn Sefra,Naâma,
Assela,Naâma,
Djeniene Bourezg,Naâma,
El Biod,Naâma,
Kasdir,Naâma,
Makman Ben Amer,Naâma,
Mecheria,Naâma,
Moghrar,Naâma,
Naâma,Naâma,
Sfissifa,Naâma,
Tiout,Naâma,
Aghlal,Aïn Témouchent,
Aïn El Arbaa,Aïn Témouchent,
Aïn Kihal,Aïn Témouchent,
Aïn Témouchent,Aïn Témouchent,
Aïn Tolba,Aïn Témouchent,
Aoubellil,Aïn Témouchent,
Beni Saf,Aïn Témouchent,
Bouzedjar,Aïn Témouchent,
Chaabat El Leham,Aïn Témouchent,
Chentouf,Aïn Témouchent,
El Amria,Aïn Témouchent,
El Emir Abdelkader,Aïn Témouchent,
El Malah,Aïn Témouchent,
El Messaid,Aïn Témouchent,
Hammam Bouhadjar,Aïn Témouchent,
Hassasna,Aïn Témouchent,
Hassi El Ghella,Aïn Témouchent,
Oued Berkeche,Aïn Témouchent,
Oued Sabah,Aïn Témouchent,
Ouled Boudjemaa,Aïn Témouchent,
Ouled Kihal,Aïn Témouchent,
Oulhaça El Gheraba,Aïn Témouchent,
Sidi Ben Adda,Aïn Témouchent,
Sidi Boumedienne,Aïn Témouchent,
Sidi Ouriache,Aïn Témouchent,
Sidi Safi,Aïn Témouchent,
Tamzoura,Aïn Témouchent,
Terga,Aïn Témouchent,
Berriane,Ghardaïa,
Bounoura,Ghardaïa,
Dhayet Bendhahoua,Ghardaïa,
El Atteuf,Ghardaïa,
El Guerrara,Ghardaïa,
El Menia,Ghardaïa,
Ghardaïa,Ghardaïa,
Hassi Fehal,Ghardaïa,
Hassi Gara,Ghardaïa,
Mansoura,Ghardaïa,
Metlili,Ghardaïa,
Sebseb,Ghardaïa,
Zelfana,Ghardaïa,
Aïn Rahma,Relizane,
Aïn Tarek,Relizane,
Ammi Moussa,Relizane,
Belassel Bouzegza,Relizane,
Bendaoud,Relizane,
Beni Dergoun,Relizane,
Beni Zentis,Relizane,
Dar Ben Abdellah,Relizane,
Djidioua,Relizane,
El Guettar,Relizane,
El Hamadna,Relizane,
El Hassi,Relizane,
El Matmar,Relizane,
El Ouldja,Relizane,
Had Echkalla,Relizane,
Hamri,Relizane,
Kalaa,Relizane,
Lahlef,Relizane,
Mazouna,Relizane,
Mediouna,Relizane,
Mendes,Relizane,
Merdja Sidi Abed,Relizane,
Ouarizane,Relizane,
Oued El Djemaa,Relizane,
Oued Essalem,Relizane,
Oued Rhiou,Relizane,
Ouled Aiche,Relizane,
Ouled Sidi Mihoub,Relizane,
Ramka,Relizane,
Relizane,Relizane,
Sidi Khettab,Relizane,
Sidi Lazreg,Relizane,
Sidi M'Hamed Ben Ali,Relizane,
Sidi M'Hamed Benaouda,Relizane,
Sidi Saada,Relizane,
Souk El Had,Relizane,
Yellel,Relizane,
Zemmora,Relizane,
